wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;;;;
18400000;0;False;4;24;;;;;;;
18500000;0;False;4;24;;;;;;;
18600000;0;False;5;24;;;;;;;
18700000;0;False;4;24;;;;;;;
18800000;0;False;4;24;;;;;;;
18900000;0;False;5;24;;;;;;;
19000000;0;False;4;24;;;;;;;
19100000;0;False;4;24;;;;;;;
19200000;0;False;5;24;;;;;;;
19300000;0;False;4;24;;;;;;;
19400000;0;False;4;24;;;;;;;
19500000;0;False;4;24;;;;;;;
19600000;0;False;5;24;;;;;;;
19700000;0;False;5;24;;;;;;;
19800000;0;False;4;24;;;;;;;
19900000;0;False;4;24;;;;;;;
20000000;0;False;4;24;;;;;;;
20100000;0;False;3;24;;;;;;;
20200000;0;False;5;24;;;;;;;
20300000;0;False;3;24;;;;;;;
20400000;0;False;4;24;;;;;;;
20500000;0;False;4;24;;;;;;;
20600000;0;False;4;24;;;;;;;
20700000;0;False;3;24;;;;;;;
20800000;0;False;4;24;;;;;;;
20900000;0;False;4;24;;;;;;;
21000000;0;False;3;24;;;;;;;
21100000;0;False;4;24;;;;;;;
21200000;0;False;3;24;;;;;;;
21300000;0;False;6;24;;;;;;;
21400000;0;False;3;24;;;;;;;
21500000;0;False;11;24;;;;;;;
21600000;0;False;4;24;;;;;;;
21700000;0;False;4;24;;;;;;;
21800000;0;False;6;24;;;;;;;
21900000;0;False;6;24;;;;;;;
22000000;0;False;4;24;;;;;;;
22100000;0;False;4;24;;;;;;;
22200000;0;False;5;24;;;;;;;
22300000;0;False;4;24;;;;;;;
22400000;0;False;3;24;;;;;;;
22500000;0;False;3;24;;;;;;;
22600000;0;False;5;24;;;;;;;
22700000;0;False;3;24;;;;;;;
22800000;0;False;4;24;;;;;;;
22900000;0;False;4;24;;;;;;;
23000000;0;False;3;24;;;;;;;
23100000;0;False;3;24;;;;;;;
23200000;0;False;5;24;;;;;;;
23300000;0;False;4;24;;;;;;;
23400000;0;False;5;24;;;;;;;
23500000;0;False;5;24;;;;;;;
23600000;0;False;7;24;;;;;;;
23700000;0;False;4;24;;;;;;;
23800000;0;False;3;24;;;;;;;
23900000;0;False;4;24;;;;;;;
24000000;0;False;4;24;;;;;;;
24100000;0;False;5;24;;;;;;;
24200000;0;False;4;24;;;;;;;
24300000;0;False;4;24;;;;;;;
24400000;0;False;4;24;;;;;;;
24500000;0;False;5;24;;;;;;;
24600000;0;False;5;24;;;;;;;
24700000;0;False;4;24;;;;;;;
24800000;0;False;5;24;;;;;;;
24900000;0;False;4;24;;;;;;;
25000000;0;False;4;24;;;;;;;
25100000;0;False;5;24;;;;;;;
25200000;0;False;6;24;;;;;;;
25300000;0;False;5;24;;;;;;;
25400000;0;False;4;24;;;;;;;
25500000;0;False;3;24;;;;;;;
25600000;0;False;5;24;;;;;;;
25700000;0;False;4;24;;;;;;;
25800000;0;False;5;24;;;;;;;
25900000;0;False;4;24;;;;;;;
26000000;0;False;4;24;;;;;;;
26100000;0;False;5;24;;;;;;;
26200000;0;False;4;24;;;;;;;
26300000;0;False;4;24;;;;;;;
26400000;0;False;6;24;;;;;;;
26500000;0;False;3;24;;;;;;;
26600000;0;False;3;24;;;;;;;
26700000;0;False;4;24;;;;;;;
26800000;0;False;4;24;;;;;;;
26900000;0;False;3;24;;;;;;;
27000000;0;False;6;24;;;;;;;
27100000;0;False;4;24;;;;;;;
27200000;0;False;5;24;;;;;;;
27300000;0;False;7;24;;;;;;;
27400000;0;False;3;24;;;;;;;
27500000;0;False;4;24;;;;;;;
27600000;0;False;5;24;;;;;;;
27700000;0;False;10;24;;;;;;;
27800000;0;False;4;24;;;;;;;
27900000;0;False;4;24;;;;;;;
28000000;0;False;6;24;;;;;;;
28100000;0;False;5;24;;;;;;;
28200000;0;False;5;24;;;;;;;
28300000;0;False;6;24;;;;;;;
28400000;0;False;4;24;;;;;;;
28500000;0;False;5;24;;;;;;;
28600000;0;False;5;24;;;;;;;
28700000;0;False;5;24;;;;;;;
28800000;0;False;4;24;;;;;;;
28900000;0;False;4;24;;;;;;;
29000000;0;False;4;24;;;;;;;
29100000;0;False;4;24;;;;;;;
29200000;0;False;4;24;;;;;;;
29300000;0;False;5;24;;;;;;;
29400000;0;False;4;24;;;;;;;
29500000;0;False;4;24;;;;;;;
29600000;0;False;5;24;;;;;;;
29700000;0;False;4;24;;;;;;;
29800000;0;False;3;24;;;;;;;
29900000;0;False;5;24;;;;;;;
30000000;0;False;5;24;;;;;;;
30100000;0;False;6;24;;;;;;;
30200000;0;False;5;24;;;;;;;
30300000;0;False;4;24;;;;;;;
30400000;0;False;4;24;;;;;;;
30500000;0;False;8;24;;;;;;;
30600000;0;False;6;24;;;;;;;
30700000;0;False;6;24;;;;;;;
30800000;0;False;6;24;;;;;;;
30900000;0;False;4;24;;;;;;;
31000000;0;False;6;24;;;;;;;
31100000;0;False;6;24;;;;;;;
31200000;0;False;6;24;;;;;;;
31300000;0;False;6;24;;;;;;;
31400000;0;False;5;24;;;;;;;
31500000;0;False;3;24;;;;;;;
31600000;0;False;4;24;;;;;;;
31700000;0;False;4;24;;;;;;;
31800000;0;False;5;24;;;;;;;
31900000;0;False;6;24;;;;;;;
32000000;0;False;6;24;;;;;;;
32100000;0;False;5;24;;;;;;;
32200000;0;False;5;24;;;;;;;
32300000;0;False;4;24;;;;;;;
32400000;0;False;5;24;;;;;;;
32500000;0;False;4;24;;;;;;;
32600000;0;False;5;24;;;;;;;
32700000;0;False;4;24;;;;;;;
32800000;0;False;4;24;;;;;;;
32900000;0;False;5;24;;;;;;;
33000000;0;False;3;24;;;;;;;
33100000;0;False;6;24;;;;;;;
33200000;0;False;4;24;;;;;;;
33300000;0;False;5;24;;;;;;;
33400000;0;False;4;24;;;;;;;
33500000;0;False;5;24;;;;;;;
33600000;0;False;5;25;;;;;;;
33700000;0;False;4;25;;;;;;;
33800000;0;False;5;25;;;;;;;
33900000;0;False;9;25;;;;;;;
34000000;0;False;6;25;;;;;;;
34100000;0;False;7;25;;;;;;;
34200000;0;False;4;25;;;;;;;
34300000;0;False;5;25;;;;;;;
34400000;0;False;14;25;;;;;;;
34500000;0;False;4;25;;;;;;;
34600000;0;False;6;25;;;;;;;
34700000;0;False;6;25;;;;;;;
34800000;0;False;3;25;;;;;;;
34900000;0;False;5;25;;;;;;;
35000000;0;False;6;25;;;;;;;
35100000;0;False;6;25;;;;;;;
35200000;0;False;6;25;;;;;;;
35300000;0;False;6;25;;;;;;;
35400000;0;False;5;25;;;;;;;
35500000;0;False;6;25;;;;;;;
35600000;0;False;5;25;;;;;;;
35700000;0;False;5;25;;;;;;;
35800000;0;False;4;25;;;;;;;
35900000;0;False;4;25;;;;;;;
36000000;0;False;7;25;;;;;;;
36100000;0;False;4;25;;;;;;;
36200000;0;False;4;25;;;;;;;
36300000;0;False;4;25;;;;;;;
36400000;0;False;4;25;;;;;;;
36500000;0;False;3;25;;;;;;;
36600000;0;False;4;25;;;;;;;
36700000;0;False;6;25;;;;;;;
36800000;0;False;4;25;;;;;;;
36900000;0;False;4;25;;;;;;;
37000000;0;False;5;25;;;;;;;
37100000;0;False;4;25;;;;;;;
37200000;0;False;4;25;;;;;;;
37300000;0;False;5;25;;;;;;;
37400000;0;False;5;25;;;;;;;
37500000;0;False;4;25;;;;;;;
37600000;0;False;8;25;;;;;;;
37700000;0;False;4;25;;;;;;;
37800000;0;False;5;25;;;;;;;
37900000;0;False;4;25;;;;;;;
38000000;0;False;4;25;;;;;;;
38100000;0;False;5;25;;;;;;;
38200000;0;False;6;25;;;;;;;
38300000;0;False;4;25;;;;;;;
38400000;0;False;5;25;;;;;;;
38500000;0;False;5;25;;;;;;;
38600000;0;False;7;25;;;;;;;
38700000;0;False;3;25;;;;;;;
38800000;0;False;6;25;;;;;;;
38900000;0;False;3;25;;;;;;;
39000000;0;False;5;25;;;;;;;
39100000;0;False;5;25;;;;;;;
39200000;0;False;5;25;;;;;;;
39300000;0;False;6;25;;;;;;;
39400000;0;False;5;25;;;;;;;
39500000;0;False;5;25;;;;;;;
39600000;0;False;6;25;;;;;;;
39700000;0;False;4;25;;;;;;;
39800000;0;False;5;25;;;;;;;
39900000;0;False;4;25;;;;;;;
40000000;0;False;5;25;;;;;;;
40100000;0;False;4;25;;;;;;;
40200000;0;False;3;25;;;;;;;
40300000;0;False;4;25;;;;;;;
40400000;0;False;4;25;;;;;;;
40500000;0;False;12;25;;;;;;;
40600000;0;False;6;25;;;;;;;
40700000;0;False;6;25;;;;;;;
40800000;0;False;4;25;;;;;;;
40900000;0;False;5;25;;;;;;;
41000000;0;False;12;25;;;;;;;
41100000;0;False;5;25;;;;;;;
41200000;0;False;5;25;;;;;;;
41300000;0;False;4;25;;;;;;;
41400000;0;False;4;25;;;;;;;
41500000;0;False;5;25;;;;;;;
41600000;0;False;4;25;;;;;;;
41700000;0;False;5;25;;;;;;;
41800000;0;False;5;25;;;;;;;
41900000;0;False;7;25;;;;;;;
42000000;0;False;4;25;;;;;;;
42100000;0;False;7;25;;;;;;;
42200000;0;False;4;25;;;;;;;
42300000;0;False;5;25;;;;;;;
42400000;0;False;12;25;;;;;;;
42500000;0;False;5;25;;;;;;;
42600000;0;False;5;25;;;;;;;
42700000;0;False;8;25;;;;;;;
42800000;0;False;7;25;;;;;;;
42900000;0;False;6;25;;;;;;;
43000000;0;False;6;25;;;;;;;
43100000;0;False;6;25;;;;;;;
43200000;0;False;9;25;;;;;;;
43300000;0;False;6;25;;;;;;;
43400000;0;False;6;25;;;;;;;
43500000;0;False;5;25;;;;;;;
43600000;0;False;5;25;;;;;;;
43700000;0;False;5;25;;;;;;;
43800000;0;False;5;25;;;;;;;
43900000;0;False;6;25;;;;;;;
44000000;0;False;4;25;;;;;;;
44100000;0;False;5;25;;;;;;;
44200000;0;False;3;25;;;;;;;
44300000;0;False;4;25;;;;;;;
44400000;0;False;5;25;;;;;;;
44500000;0;False;5;25;;;;;;;
44600000;0;False;6;25;;;;;;;
44700000;0;False;5;25;;;;;;;
44800000;0;False;4;25;;;;;;;
44900000;0;False;14;25;;;;;;;
45000000;0;False;4;25;;;;;;;
45100000;0;False;5;25;;;;;;;
45200000;0;False;5;25;;;;;;;
45300000;0;False;4;25;;;;;;;
45400000;0;False;4;25;;;;;;;
45500000;0;False;5;25;;;;;;;
45600000;0;False;6;25;;;;;;;
45700000;0;False;6;25;;;;;;;
45800000;0;False;5;25;;;;;;;
45900000;0;False;4;25;;;;;;;
46000000;0;False;7;25;;;;;;;
46100000;0;False;7;25;;;;;;;
46200000;0;False;6;25;;;;;;;
46300000;0;False;6;25;;;;;;;
46400000;0;False;4;25;;;;;;;
46500000;0;False;13;25;;;;;;;
46600000;0;False;6;25;;;;;;;
46700000;0;False;5;25;;;;;;;
