wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;
19300000;9650000;True;2;1;;;;
19400000;9700000;True;2;1;;;;
19500000;9750000;True;2;1;;;;
19600000;9800000;True;2;1;;;;
19700000;9850000;True;3;1;;;;
19800000;9900000;True;2;1;;;;
19900000;9950000;True;2;1;;;;
20000000;10000000;True;1;1;;;;
20100000;10050000;True;2;1;;;;
20200000;10100000;True;1;1;;;;
20300000;10150000;True;4;1;;;;
20400000;10200000;True;2;1;;;;
20500000;10250000;True;0;1;;;;
20600000;10300000;True;3;1;;;;
20700000;10350000;True;1;1;;;;
20800000;10400000;True;2;1;;;;
20900000;10450000;True;2;1;;;;
21000000;10500000;True;2;1;;;;
21100000;10550000;True;3;1;;;;
21200000;10600000;True;2;1;;;;
21300000;10650000;True;1;1;;;;
21400000;10700000;True;1;1;;;;
21500000;10750000;True;2;1;;;;
21600000;10800000;True;1;1;;;;
21700000;10850000;True;2;1;;;;
21800000;10900000;True;3;1;;;;
21900000;10950000;True;2;1;;;;
22000000;11000000;True;1;1;;;;
22100000;11050000;True;3;1;;;;
22200000;11100000;True;3;1;;;;
22300000;11150000;True;2;1;;;;
22400000;11200000;True;2;1;;;;
22500000;11250000;True;3;1;;;;
22600000;11300000;True;3;1;;;;
22700000;11350000;True;1;1;;;;
22800000;11400000;True;2;1;;;;
22900000;11450000;True;2;1;;;;
23000000;11500000;True;2;1;;;;
23100000;11550000;True;3;1;;;;
23200000;11600000;True;3;1;;;;
23300000;11650000;True;3;1;;;;
23400000;11700000;True;2;1;;;;
23500000;11750000;True;3;1;;;;
23600000;11800000;True;2;1;;;;
23700000;11850000;True;3;1;;;;
23800000;11900000;True;2;1;;;;
23900000;11950000;True;0;1;;;;
24000000;12000000;True;2;1;;;;
24100000;12050000;True;2;1;;;;
24200000;12100000;True;3;1;;;;
24300000;12150000;True;2;1;;;;
24400000;12200000;True;4;1;;;;
24500000;12250000;True;2;1;;;;
24600000;12300000;True;2;1;;;;
24700000;12350000;True;1;1;;;;
24800000;12400000;True;2;1;;;;
24900000;12450000;True;1;1;;;;
25000000;12500000;True;2;1;;;;
25100000;12550000;True;3;1;;;;
25200000;12600000;True;1;1;;;;
25300000;12650000;True;2;1;;;;
25400000;12700000;True;1;1;;;;
25500000;12750000;True;1;1;;;;
25600000;12800000;True;4;1;;;;
25700000;12850000;True;2;1;;;;
25800000;12900000;True;2;1;;;;
25900000;12950000;True;3;1;;;;
26000000;13000000;True;3;1;;;;
26100000;13050000;True;1;1;;;;
26200000;13100000;True;2;1;;;;
26300000;13150000;True;1;1;;;;
26400000;13200000;True;1;1;;;;
26500000;13250000;True;2;1;;;;
26600000;13300000;True;4;1;;;;
26700000;13350000;True;1;1;;;;
26800000;13400000;True;48;1;;;;
26900000;13450000;True;3;1;;;;
27000000;13500000;True;0;1;;;;
27100000;13550000;True;1;1;;;;
27200000;13600000;True;1;1;;;;
27300000;13650000;True;2;1;;;;
27400000;13700000;True;2;1;;;;
27500000;13750000;True;1;1;;;;
27600000;13800000;True;0;1;;;;
27700000;13850000;True;2;1;;;;
27800000;13900000;True;3;1;;;;
27900000;13950000;True;2;1;;;;
28000000;14000000;True;1;1;;;;
28100000;14050000;True;2;1;;;;
28200000;14100000;True;2;1;;;;
28300000;14150000;True;3;1;;;;
28400000;14200000;True;2;1;;;;
28500000;14250000;True;3;1;;;;
28600000;14300000;True;3;1;;;;
28700000;14350000;True;3;1;;;;
28800000;14400000;True;2;1;;;;
28900000;14450000;True;2;1;;;;
29000000;14500000;True;1;1;;;;
29100000;14550000;True;0;1;;;;
29200000;14600000;True;2;1;;;;
29300000;14650000;True;2;1;;;;
29400000;14700000;True;3;1;;;;
29500000;14750000;True;3;1;;;;
29600000;14800000;True;2;1;;;;
29700000;14850000;True;2;1;;;;
29800000;14900000;True;3;1;;;;
29900000;14950000;True;3;1;;;;
30000000;15000000;True;1;1;;;;
30100000;15050000;True;2;1;;;;
30200000;15100000;True;2;1;;;;
30300000;15150000;True;2;1;;;;
30400000;15200000;True;2;1;;;;
30500000;15250000;True;0;1;;;;
30600000;15300000;True;2;1;;;;
30700000;15350000;True;3;1;;;;
30800000;15400000;True;3;1;;;;
30900000;15450000;True;1;1;;;;
31000000;15500000;True;1;1;;;;
31100000;15550000;True;3;1;;;;
31200000;15600000;True;0;1;;;;
31300000;15650000;True;4;1;;;;
