wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;
11800000;5,89704E+17;5900000;70775;5900001;;;5450001;64266
11900000;5,81942E+18;5950000;70770;5950001;;;5500001;63942
12000000;-3,68423E+18;6000000;70852;6000001;;;5550001;66227
12100000;-8,4477E+18;6050000;69326;6050001;;;5600001;68052
12200000;-8,80817E+18;6100000;80651;6100001;;;5650001;68027
12300000;-7,76398E+18;6150000;72616;6150001;;;5700001;67732
12400000;1,33132E+17;6200000;71311;6200001;;;5750001;66035
12500000;3,31435E+17;6250000;75278;6250001;;;5800001;73525
12600000;-1,69081E+18;6300000;75348;6300001;;;5850001;69235
12700000;-6,28297E+18;6350000;74187;6350001;;;5900001;70775
12800000;-4,52326E+18;6400000;73949;6400001;;;5950001;70770
12900000;4,70888E+18;6450000;76736;6450001;;;6000001;70852
13000000;6,13097E+18;6500000;77721;6500001;;;6050001;69326
13100000;-1,21007E+18;6550000;77550;6550001;;;6100001;80651
13200000;2,42586E+18;6600000;76716;6600001;;;6150001;72616
13300000;5,2266E+18;6650000;80370;6650001;;;6200001;71311
13400000;2,85189E+18;6700000;78319;6700001;;;6250001;75278
13500000;-4,11511E+18;6750000;83775;6750001;;;6300001;75348
13600000;-4,1495E+18;6800000;84575;6800001;;;6350001;74187
13700000;-2,92943E+18;6850000;81378;6850001;;;6400001;73949
13800000;-1,20192E+18;6900000;82441;6900001;;;6450001;76736
13900000;-3,20308E+18;6950000;80871;6950001;;;6500001;77721
14000000;6,25707E+18;7000000;82826;7000001;;;6550001;77550
14100000;-6,52491E+18;7050000;83776;7050001;;;6600001;76716
14200000;-5,37147E+18;7100000;84334;7100001;;;6650001;80370
14300000;-4,57699E+18;7150000;84635;7150001;;;6700001;78319
14400000;5,71281E+18;7200000;85089;7200001;;;6750001;83775
14500000;7,06672E+18;7250000;85205;7250001;;;6800001;84575
14600000;1,96698E+18;7300000;86702;7300001;;;6850001;81378
14700000;4,07937E+18;7350000;86987;7350001;;;6900001;82441
14800000;-2,26712E+18;7400000;88531;7400001;;;6950001;80871
14900000;-5,6449E+18;7450000;88575;7450001;;;7000001;82826
15000000;2,1575E+18;7500000;88347;7500001;;;7050001;83776
15100000;3,99447E+18;7550000;88524;7550001;;;7100001;84334
15200000;-3,90015E+18;7600000;93629;7600001;;;7150001;84635
15300000;7,5991E+18;7650000;89710;7650001;;;7200001;85089
15400000;8,13482E+18;7700000;88557;7700001;;;7250001;85205
15500000;2,1169E+18;7750000;90822;7750001;;;7300001;86702
15600000;-5,39535E+18;7800000;91069;7800001;;;7350001;86987
15700000;-7,18822E+18;7850000;93520;7850001;;;7400001;88531
15800000;2,23724E+18;7900000;91765;7900001;;;7408703;89128
15900000;-8,51941E+18;7950000;93696;7950001;;;7450001;88575
16000000;-5,82236E+18;8000000;122567;8000001;;;7500001;88347
16100000;6,60297E+18;8050000;93263;8050001;;;7550001;88524
16200000;4,24073E+18;8100000;94894;8100001;;;7600001;93629
16300000;8,50374E+18;8150000;94627;8150001;;;7650001;89710
16400000;-1,81958E+18;8200000;95836;8200001;;;7700001;88557
16500000;-7,98773E+18;8250000;96953;8250001;;;7750001;90822
16600000;1,63401E+17;8300000;98176;8300001;;;7800001;91069
16700000;8,02336E+17;8350000;98249;8350001;;;7850001;93520
16800000;-2,89608E+18;8400000;99275;8400001;;;7900001;91765
16900000;-2,69701E+18;8450000;98998;8450001;;;7950001;93696
17000000;-5,92198E+18;8500000;100868;8500001;;;8000001;122567
17100000;5,65843E+18;8550000;101252;8550001;;;8050001;93263
17200000;6,56465E+18;8600000;102866;8600001;;;8100001;94894
17300000;-2,27226E+17;8650000;102297;8650001;;;8150001;94627
17400000;7,74968E+18;8700000;103280;8700001;;;8200001;95836
17500000;3,32644E+18;8750000;101756;8750001;;;8250001;96953
17600000;8,57127E+18;8800000;103734;8800001;;;8300001;98176
17700000;5,40617E+18;8850000;105606;8850001;;;8350001;98249
17800000;6,38507E+18;8900000;106178;8900001;;;8400001;99275
17900000;8,60473E+18;8950000;105676;8950001;;;8450001;98998
18000000;4,23381E+18;9000000;105714;9000001;;;8500001;100868
18100000;-4,997E+18;9050000;109710;9050001;;;8550001;101252
18200000;-5,13507E+16;9100000;106057;9100001;;;8600001;102866
18300000;-4,17394E+18;9150000;107701;9150001;;;8650001;102297
18400000;-4,45496E+18;9200000;107735;9200001;;;8700001;103280
18500000;2,09309E+18;9250000;107600;9250001;;;8750001;101756
18600000;-4,478E+18;9300000;107043;9300001;;;8800001;103734
18700000;5,8727E+18;9350000;113911;9350001;;;8850001;105606
18800000;-7,98763E+18;9400000;111710;9400001;;;8900001;106178
18900000;-2,62288E+18;9450000;113190;9450001;;;8950001;105676
19000000;-8,7414E+18;9500000;113388;9500001;;;9000001;105714
19100000;-3,82003E+17;9550000;112603;9550001;;;9050001;109710
19200000;-6,50981E+18;9600000;113408;9600001;;;9100001;106057
